Profile,NVI_KF,NVI_DeltaStar,NVI_DeltaL,NVI_DeltaH
"Female_
Risk-Free",0.07106249999999997,0.07914101915683655,0.15169725330057243,0.21739692267615496
"Female_
Smoking",0.09,0.0964432612149914,0.1736418751405729,0.24874392921583519
"Female_
Diabetic",0.10059776860304769,0.11653663020756412,0.2016242671608854,0.28
"Male_
Risk-Free",0.11458399546563496,0.1189859323826,0.21225953561487465,0.28594352004306
"Male_
Smoking",0.15708077353883093,0.19206215797630824,0.312907202187153,0.4058801037935345
"Male_
Diabetic",0.127777702321486,0.16209908412967658,0.2636392031204226,0.350650429195521
